input_file,factor,color,canonical_key,page,bbox,match_type,match_score,color_match,mapped_json,notes
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Age,#374151,age--5dc56b9aab,1,"[544.260009765625, 72.44001007080078, 561.2610473632812, 84.8330078125]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,JPMCB CARD SERVICES (Flexible Spending Credit Card),#212529,jpmcb_card_services_flexible_spending_credit_card--7e00cd4235,1,"[56.689998626708984, 95.07499694824219, 291.7430114746094, 107.44100189208984]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$6,120",#212529,6_120--ab7edd0775,1,"[340.9800109863281, 95.07499694824219, 368.50201416015625, 107.44100189208984]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$12,000",#212529,12_000--4208e29cfd,1,"[387.0, 95.07499694824219, 419.5260009765625, 107.44100189208984]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,51%,#dc3545,51--b7eb6c689c,1,"[429.8699951171875, 95.07499694824219, 447.8789978027344, 107.44100189208984]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$176,#212529,176--5c8f5ac0b7,1,"[478.8800048828125, 95.07499694824219, 498.89599609375, 107.44100189208984]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,I,#212529,i--042dc4512f,1,"[524.739990234375, 95.07499694824219, 527.2420043945312, 107.44100189208984]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,SYNCB/PAYPAL (Credit Card),#212529,syncb_paypal_credit_card--50234505a5,1,"[56.689998626708984, 117.75498962402344, 179.71995544433594, 130.12098693847656]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$0,#212529,0--b6589fc6ab,1,"[358.5, 117.75498962402344, 368.50799560546875, 130.12098693847656]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$4,300",#212529,4_300--58d5115163,1,"[392.010009765625, 117.75498962402344, 419.5320129394531, 130.12098693847656]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,0%,#212529,0--b6589fc6ab,1,"[434.8699951171875, 117.75498962402344, 447.875, 130.12098693847656]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$0,#212529,0--b6589fc6ab,1,"[358.5, 117.75498962402344, 368.50799560546875, 130.12098693847656]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,I,#212529,i--042dc4512f,1,"[524.739990234375, 95.07499694824219, 527.2420043945312, 107.44100189208984]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
