input_file,pdf_lines_json,factor,spans_preview,color,canonical_key,page,bbox,match_type,match_score,color_match,mapped_json,review_action,reviewer_notes
data/extracted/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.json,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.pdf.lines.json,$507 Unpaid Collection(s),$507 Unpaid Collection(s)...,#428f4e,507_unpaid_collection_s--9561952a87,0,"[382.67999267578125, 199.8250274658203, 509.2239074707031, 214.93902587890625]",exact,1.00,,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.json,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.pdf.lines.json,6 Rev Lates in 4-6 mo,6 Rev Lates in 4-6 mo...,#428f4e,6_rev_lates_in_4_6_mo--f4b3caecb2,0,"[382.67999267578125, 216.83497619628906, 490.2820129394531, 231.948974609375]",exact,1.00,,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.json,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.pdf.lines.json,Current Lates (SYNCB/PAYPAL),Current Lates (SYNCB/PAYPAL)...,#428f4e,current_lates_syncb_paypal--b4847a4e15,0,"[382.67999267578125, 233.84498596191406, 543.4559936523438, 248.958984375]",exact,1.00,,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.json,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.pdf.lines.json,2 Over Limit Accnt,2 Over Limit Accnt...,#428f4e,2_over_limit_accnt--2a103e3f1f,0,"[382.67999267578125, 250.84498596191406, 472.5390319824219, 265.958984375]",exact,1.00,,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.json,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.pdf.lines.json,Current Lates (CAPITAL ONE BANK USA),Current Lates (CAPITAL ONE BANK USA)...,#428f4e,current_lates_capital_one_bank_usa--e6171b09c6,0,"[382.67999267578125, 267.85498046875, 591.1299438476562, 282.968994140625]",exact,1.00,,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.json,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.pdf.lines.json,Total Rev Usage > 90%,Total Rev Usage > 90%...,#428f4e,total_rev_usage_90--217ef38a5f,0,"[382.67999267578125, 284.864990234375, 499.14801025390625, 299.97900390625]",exact,1.00,,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.json,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.pdf.lines.json,2 Charged Off Accts,2 Charged Off Accts...,#428f4e,2_charged_off_accts--398d8d95e1,0,"[382.67999267578125, 165.8050079345703, 481.72406005859375, 180.91900634765625]",exact,1.00,,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.json,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.pdf.lines.json,3 Unpaid Collection(s),3 Unpaid Collection(s)...,#428f4e,3_unpaid_collection_s--81d275c100,0,"[382.67999267578125, 182.8150177001953, 490.87591552734375, 197.92901611328125]",exact,1.00,,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.json,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.pdf.lines.json,$10308 Unpaid Collection(s),$10308 Unpaid Collection(s)...,#428f4e,10308_unpaid_collection_s--20b4811944,0,"[382.67999267578125, 199.8250274658203, 521.4559326171875, 214.93902587890625]",exact,1.00,,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.json,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.pdf.lines.json,Past Due Not Late,Past Due Not Late...,#428f4e,past_due_not_late--30baf3a877,0,"[382.67999267578125, 216.83497619628906, 472.56103515625, 231.948974609375]",exact,1.00,,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.mapped.json,,
